valg;valgdistrikt;partikode;partinavn;display_order;kandidatnr;navn;bosted;stilling;fødselsdato;alder;kjønn
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;1;Irene Ojala;NULL;;08.10.1960;64;Kvinne
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;2;Øyvind Seljeseth;NULL;;15.07.1962;63;Mann
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;3;Grethe Rasmussen;NULL;;22.09.1981;43;Kvinne
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;4;Bengt Stabrun Johansen;NULL;;26.06.1967;58;Mann
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;5;Mariann Smith-Novik;NULL;;10.04.1973;52;Kvinne
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;6;Sarah Sofie Daniloff;NULL;;18.12.1986;38;Kvinne
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;7;Ann Kristin Vian;NULL;;16.04.1968;57;Kvinne
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;8;Roger Skarvik;NULL;;04.10.1972;52;Mann
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;9;Bjørn Einar Lyng;NULL;;09.03.1961;64;Mann
Stortingsvalget 2025;Finnmark Finnmárku;PASF;Pasientfokus;17;10;Unn-Hariet Vekve;NULL;;19.09.1955;69;Kvinne
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;1;Irene Ojala;NULL;;08.10.1960;64;Kvinne
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;2;Øyvind Seljeseth;NULL;;15.07.1962;63;Mann
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;3;Grethe Rasmussen;NULL;;22.09.1981;43;Kvinne
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;4;Bengt Stabrun Johansen;NULL;;26.06.1967;58;Mann
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;5;Mariann Smith-Novik;NULL;;10.04.1973;52;Kvinne
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;6;Sarah Sofie Daniloff;NULL;;18.12.1986;38;Kvinne
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;7;Ann Kristin Vian;NULL;;16.04.1968;57;Kvinne
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;8;Roger Skarvik;NULL;;04.10.1972;52;Mann
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;9;Bjørn Einar Lyng;NULL;;09.03.1961;64;Mann
Stortingsvalget 2025;Østfold;PASF;Pasientfokus;17;10;Unn-Hariet Vekve;NULL;;19.09.1955;69;Kvinne
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;1;Irene Ojala;NULL;;08.10.1960;64;Kvinne
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;2;Øyvind Seljeseth;NULL;;15.07.1962;63;Mann
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;3;Grethe Rasmussen;NULL;;22.09.1981;43;Kvinne
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;4;Bengt Stabrun Johansen;NULL;;26.06.1967;58;Mann
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;5;Mariann Smith-Novik;NULL;;10.04.1973;52;Kvinne
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;6;Sarah Sofie Daniloff;NULL;;18.12.1986;38;Kvinne
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;7;Ann Kristin Vian;NULL;;16.04.1968;57;Kvinne
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;8;Roger Skarvik;NULL;;04.10.1972;52;Mann
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;9;Bjørn Einar Lyng;NULL;;09.03.1961;64;Mann
Stortingsvalget 2025;Akershus;PASF;Pasientfokus;17;10;Unn-Hariet Vekve;NULL;;19.09.1955;69;Kvinne
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;1;Irene Ojala;NULL;;08.10.1960;64;Kvinne
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;2;Øyvind Seljeseth;NULL;;15.07.1962;63;Mann
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;3;Grethe Rasmussen;NULL;;22.09.1981;43;Kvinne
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;4;Bengt Stabrun Johansen;NULL;;26.06.1967;58;Mann
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;5;Mariann Smith-Novik;NULL;;10.04.1973;52;Kvinne
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;6;Sarah Sofie Daniloff;NULL;;18.12.1986;38;Kvinne
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;7;Ann Kristin Vian;NULL;;16.04.1968;57;Kvinne
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;8;Roger Skarvik;NULL;;04.10.1972;52;Mann
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;9;Bjørn Einar Lyng;NULL;;09.03.1961;64;Mann
Stortingsvalget 2025;Oslo;PASF;Pasientfokus;17;10;Unn-Hariet Vekve;NULL;;19.09.1955;69;Kvinne
Stortingsvalget 2025;Hedmark;PASF;Pasientfokus;17;1;Irene Ojala;NULL;;08.10.1960;64;Kvinne
Stortingsvalget 2025;Hedmark;PASF;Pasientfokus;17;2;Øyvind Seljeseth;NULL;;15.07.1962;63;Mann
Stortingsvalget 2025;Hedmark;PASF;Pasientfokus;17;3;Grethe Rasmussen;NULL;;22.09.1981;43;Kvinne
Stortingsvalget 2025;Hedmark;PASF;Pasientfokus;17;4;Bengt Stabrun Johansen;NULL;;26.06.1967;58;Mann
Stortingsvalget 2025;Hedmark;PASF;Pasientfokus;17;5;Mariann Smith-Novik;NULL;;10.04.1973;52;Kvinne
Stortingsvalget 2025;Hedmark;PASF;Pasientfokus;17;6;Sarah Sofie Daniloff;NULL;;18.12.1986;38;Kvinne
Stortingsvalget 2025;Hedmark;PASF;Pasientfokus;17;7;Ann Kristin Vian;NULL;;16.04.1968;57;Kvinne
Stortingsvalget 2025;Hedmark;PASF;Pasientfokus;17;8;Roger Skarvik;NULL;;04.10.1972;52;Mann
