PersonId;Fornavn;Etternavn;FodselsDato;DodsDato;Kjonn;AnsiennitetAar;AnsiennitetDager
ABIR;Abid;Raja;1975-11-05;;mann;11;350
ABUANJ;Anja Ninasdotter;Abusland;1995-11-25;;kvinne;3;266
AIM;Anna;Molberg;1990-08-05;;kvinne;3;266
ALES;Aleksander;Stokkebø;1994-11-02;;mann;7;266
ALFBJR;Alfred Jens;Bjørlo;1972-12-17;;mann;3;266
ALI;Anne Kristine;Linnestad;1961-12-19;;kvinne;5;219
ALYS;Audun;Lysbakken;1977-09-30;;mann;19;301
ANNH;Anniken;Huitfeldt;1969-11-29;;kvinne;19;266
ANNS;André N.;Skjelstad;1965-08-27;;mann;15;266
ATR;Anette;Trettebergstuen;1981-05-25;;kvinne;19;266
AU;Andreas Sjalg;Unneland;1994-06-30;;mann;3;266
BERST;Bengt Rune;Strifeldt;1971-03-24;;mann;7;266
BFA;Bengt;Fasteraune;1964-06-03;;mann;6;266
BIRKJE;Birgit Oline;Kjerstad;1961-09-11;;kvinne;3;266
BJMO;Bjørnar;Moxnes;1981-12-19;;mann;7;266
BJRSKJ;Bjørnar;Skjæran;1966-05-28;;mann;3;266
BRDTHO;Bård Ludvig;Thorheim;1976-10-15;;mann;3;266
BÅH;Bård;Hoksrud;1973-03-26;;mann;19;290
CIH;Carl I.;Hagen;1944-05-06;;mann;35;325
CT;Christian;Tybring-Gjedde;1963-08-08;;mann;19;266
CTM;Cecilie;Myrseth;1984-07-27;;kvinne;7;266
DHO;Dagfinn Henrik;Olsen;1966-06-29;;mann;5;69
DU;Dag-Inge;Ulstein;1980-12-04;;mann;3;266
EBE;Espen Barth;Eide;1964-05-01;;mann;7;266
EEM;Emilie;Mehl;1993-08-08;;kvinne;7;266
EIK;Eigil;Knutsen;1988-10-28;;mann;8;39
ELR;Else Marie;Rødby;1982-05-26;;kvinne;3;266
ELV;Hårek;Elvenes;1959-06-17;;mann;11;302
ELW;Elise;Waagen;1990-02-19;;kvinne;7;267
ERLBE1;Erlend Svardal;Bøe;1992-12-30;;mann;3;266
ERLL;Erlend;Larsen;1965-10-13;;mann;7;266
ES;Erna;Solberg;1961-02-24;;kvinne;35;266
ESAN;Erling;Sande;1978-11-08;;mann;11;250
EVH;Eva Kristin;Hansen;1973-03-05;;kvinne;19;266
EVR;Even A.;Røed;1992-02-23;;mann;3;266
EW;Erlend;Wiborg;1984-01-20;;mann;12;1
FAØ;Freddy André;Øvstegård;1994-12-20;;mann;7;266
FES;Frank Edvard;Sve;1968-02-18;;mann;3;266
FMS;Morten;Stordalen;1968-10-05;;mann;12;69
GAI;Geir Adelsten;Iversen;1954-09-20;;mann;7;266
GEIRAJ;Geir;Jørgensen;1972-12-16;;mann;3;266
GEL;Geir Inge;Lien;1972-05-30;;mann;4;202
GKAL;Grunde;Almeland;1991-03-29;;mann;5;278
GME;Guri;Melby;1981-02-03;;kvinne;5;343
GMS;Gisle Meininger;Saudland;1986-07-08;;mann;7;266
GP;Geir;Pollestad;1978-08-13;;mann;14;163
GREWOL;Grete;Wold;1968-01-15;;kvinne;3;266
GROMYK;Gro-Anita;Mykjåland;1976-09-04;;kvinne;3;266
HEA;Henrik;Asheim;1983-08-21;;mann;11;266
HEGNYH;Hege Bae;Nyholt;1978-08-02;;kvinne;3;266
HEIG;Heidi;Greni;1962-07-03;;kvinne;14;186
HELO;Helge;Orten;1966-10-25;;mann;11;266
HENL;Heidi Nordby;Lunde;1973-02-03;;kvinne;11;251
HGU;Himanshu;Gulati;1988-06-16;;mann;7;266
HLI;Hans Andreas;Limi;1960-09-26;;mann;11;266
HNJ;Helge André;Njåstad;1980-06-05;;mann;11;282
HTA;Hadia;Tajik;1983-07-18;;kvinne;15;266
IAF;Ingunn;Foss;1960-02-07;;kvinne;11;281
IME;Ine Eriksen;Søreide;1976-05-02;;kvinne;23;248
INF;Ingrid;Fiskaa;1977-04-16;;kvinne;3;302
INGTHO;Ingvild Wetrhus;Thorsvik;1991-11-19;;kvinne;3;266
INK;Ingvild;Kjerkol;1975-05-18;;kvinne;11;281
IREOJA;Irene;Ojala;1960-10-08;;kvinne;3;266
ISC;Ingjerd Schie;Schou;1955-01-20;;kvinne;19;280
