"Category";"Representanter (name)";"Representanter (y)";"Representanter (color)";"Representanter (label)"
"Arbeiderpartiet (48)";"Arbeiderpartiet (48)";48;"#D70926";"Arbeiderpartiet"
"Senterpartiet (28)";"Senterpartiet (28)";28;"#13964C";"Senterpartiet"
"Høyre (36)";"Høyre (36)";36;"#3C76C1";"Høyre"
"Fremskrittspartiet (21)";"Fremskrittspartiet (21)";21;"#001F5B";"Fremskrittspartiet"
"Sosialistisk Venstreparti (13)";"Sosialistisk Venstreparti (13)";13;"#B00060";"Sosialistisk Venstreparti"
"Rødt (8)";"Rødt (8)";8;"#701C45";"Rødt"
"Venstre (8)";"Venstre (8)";8;"#00472E";"Venstre"
"Kristelig Folkeparti (3)";"Kristelig Folkeparti (3)";3;"#F9A134";"Kristelig Folkeparti"
"Miljøpartiet De Grønne (3)";"Miljøpartiet De Grønne (3)";3;"#8BC043";"Miljøpartiet De Grønne"
"Pasientfokus (1)";"Pasientfokus (1)";1;"#FF6600";"Pasientfokus"
